Название,Описание,Что изучается
Волшебная кнопка,"При нажатии происходит случайное событие (звук, картинка, фон)","Функции, события, DOM"
Генератор ужасов,"Создает случайные готические фразы (массивы, шаблоны)","Массивы, Math.random, функции"
Калькулятор эмоций,Вводишь эмоцию — получаешь цвет и совет,"Условия, ввод, обработка строк"
Тайный чат,Пользовательский чат — все сообщения сохраняются в массив,"Массивы, события, DOM"
Тест на ведьму,Ответы на вопросы приводят к разным результатам (как квест),"Условия, логика, функции"
Исправь чужой код,Найди баг в чужом скрипте и почини,"Отладка, понимание логики"
Веб-квест,"Мини-игра, где ты выбираешь действия и получаешь результат","Условия, функции, интерактив"
Дуэль функций,"Один пишет функцию, второй — улучшает или ломает","Оптимизация, аргументы"
"Кнопка, которая боится мышки",Кнопка убегает от курсора,"События мыши, координаты, Math.random"
Книга с кликами,Кликаешь — появляется следующий абзац истории,"DOM, события, работа с массивом"
Реактивный фон,Сайт меняет фон при каждом клике,"DOM, события, цвета"
Зловещий будильник,Ставишь время — раздается звук,"Работа с временем, таймеры"
Мини-бот судьбы,Пишешь вопрос — бот отвечает (рандом),"Math.random, условия"
Картинка дня,Каждый день — новое изображение,"Работа с датой, массивы"
Ночной режим,Переключение темы сайта (ночь/день),"DOM, условия, классы"
Игра угадай число,Классика: угадай число от 1 до 100,"Циклы, условия, генерация чисел"
Готический таймер,Таймер в стиле мистики,"setInterval, DOM"
Панель проклятий,"Кнопки с проклятиями, каждое действие делает что-то странное","DOM, массивы, события"
Магическая клавиатура,При нажатии клавиш происходит действие,События клавиатуры
Готический тостер,Каждый клик выдает новую философскую цитату,"Массивы, события, Math.random"
